Time [s],TL_CLK,TL_IN_RDY,TL_IN_DATA,TL_IN_VAL,TL_OUT_VAL,TL_OUT_DATA,TL_OUT_RDY
4.235657312,1,1,0,0,0,0,0
4.236157312,0,1,0,0,0,0,0
4.236657375,1,1,0,0,0,0,0
4.237157375,0,1,0,0,0,0,0
4.237657375,1,1,0,0,0,0,0
4.238157437,0,1,0,0,0,0,0
4.238657437,1,1,0,0,0,0,0
4.239157500,0,1,0,0,0,0,0
4.239657500,1,1,0,0,0,0,0
4.240157563,0,1,0,0,0,0,0
4.240657562,1,1,0,0,0,0,0
4.241157562,0,1,0,0,0,0,0
4.241657625,1,1,0,0,0,0,0
4.242157625,0,1,0,0,0,0,0
4.242657688,1,1,0,0,0,0,0
4.243157688,0,1,0,0,0,0,0
4.243657750,1,1,0,0,0,0,0
4.244157750,0,1,0,0,0,0,0
4.244657750,1,1,0,0,0,0,0
4.245157812,0,1,0,0,0,0,0
4.245657813,1,1,0,0,0,0,0
4.246157875,0,1,0,0,0,0,0
4.246657875,1,1,0,0,0,0,0
4.247157937,0,1,0,0,0,0,0
4.247657937,1,1,0,0,0,0,0
4.248157938,0,1,0,0,0,0,0
4.248658000,1,1,0,0,0,0,0
4.249158000,0,1,0,0,0,0,0
4.249658062,1,1,0,0,0,0,0
4.250158062,0,1,0,0,0,0,0
4.250658125,1,1,0,0,0,0,0
4.251158125,0,1,0,0,0,0,0
4.251658125,1,1,0,0,0,0,0
4.252158188,0,1,0,0,0,0,0
4.252658187,1,1,0,0,0,0,0
4.253158250,0,1,0,0,0,0,0
4.253658250,1,1,0,0,0,0,0
4.254158250,0,1,0,0,0,0,0
4.254658313,1,1,0,0,0,0,0
4.255158312,0,1,0,0,0,0,0
4.255658375,1,1,0,0,0,0,0
4.256158375,0,1,0,0,0,0,0
4.256658437,1,1,0,0,0,0,0
4.257158438,0,1,0,0,0,0,0
4.257658437,1,1,0,0,0,0,0
4.258158500,0,1,0,0,0,0,0
4.258658500,1,1,0,0,0,0,0
4.259158562,0,1,0,0,0,0,0
4.259658563,1,1,0,0,0,0,0
4.260158625,0,1,0,0,0,0,0
4.260658625,1,1,0,0,0,0,0
4.261158625,0,1,0,0,0,0,0
4.261658687,1,1,0,0,0,0,0
4.262158688,0,1,0,0,0,0,0
4.262658750,1,1,0,0,0,0,0
4.263158750,0,1,0,0,0,0,0
4.263658813,1,1,0,0,0,0,0
4.264158812,0,1,0,0,0,0,0
4.264658812,1,1,0,0,0,0,0
4.265158875,0,1,0,0,0,0,0
4.265658875,1,1,0,0,0,0,0
4.266158938,0,1,0,0,0,0,0
4.266658937,1,1,0,0,0,0,0
4.267159000,0,1,0,0,0,0,0
4.267659000,1,1,0,0,0,0,0
4.268159000,0,1,0,0,0,0,0
4.268659063,1,1,0,0,0,0,0
4.269159062,0,1,0,0,0,0,0
4.269659125,1,1,0,0,0,0,0
4.270159125,0,1,0,0,0,0,0
